Title,Platform,Release_Date,Metascore,User_Score,Critic_Review_Count,User_Review_Count,Publisher,Genre,Rating,URL
The House in Fata Morgana - Dreams of the Revenants Edition -,"PlayStation 4, Nintendo Switch",2021-04-09,96,7.0,10,678,"Limited Run Games, dramatic create, HuneX",Visual Novel,M,https://www.metacritic.com/game/the-house-in-fata-morgana-dreams-of-the-revenants/
Forza Horizon 5,"Xbox Series X, PC, Xbox One, PlayStation 5",2021-11-05,92,8.2,110,5548,Xbox Game Studios,Auto Racing Sim,E,https://www.metacritic.com/game/forza-horizon-5/
Final Fantasy XIV: Endwalker,"PC, PlayStation 4, PlayStation 5",2021-12-07,92,9.0,30,1724,Square Enix,MMORPG,T,https://www.metacritic.com/game/final-fantasy-xiv-endwalker/
Chicory: A Colorful Tale,"PC, PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series X, Xbox One",2021-06-10,90,7.7,26,136,Finji,Adventure,Not Rated,https://www.metacritic.com/game/chicory-a-colorful-tale/
Super Mario 3D World + Bowser's Fury,Nintendo Switch,2021-02-12,89,8.6,129,1548,Nintendo,3D Platformer,E,https://www.metacritic.com/game/super-mario-3d-world-plus-bowsers-fury/
Final Fantasy VII Remake Intergrade,"PlayStation 5, PC, Nintendo Switch 2, Xbox Series X, Xbox One",2021-06-10,89,8.4,56,2299,Square Enix,Action RPG,T,https://www.metacritic.com/game/final-fantasy-vii-remake-intergrade/
Synth Riders,"PC, PlayStation 4, PlayStation 5, Meta Quest, Nintendo Switch",2021-07-27,89,6.7,8,25,"Kluge Interactive, Koch Media",Exercise,T,https://www.metacritic.com/game/synth-riders/
Disco Elysium: The Final Cut,"PC, PlayStation 5, PlayStation 4, iOS (iPhone/iPad), Xbox Series X, Nintendo Switch, Xbox One",2021-03-30,89,8.4,31,1706,"ZA/UM, iam8bit, Spike Chunsoft",Western RPG,M,https://www.metacritic.com/game/disco-elysium-the-final-cut/
Streets of Rage 4: Mr. X Nightmare,"PC, Nintendo Switch, PlayStation 4, Xbox One",2021-07-15,88,8.0,11,46,DotEmu,2D Beat-'Em-Up,Not Rated,https://www.metacritic.com/game/streets-of-rage-4-mr-x-nightmare/
It Takes Two,"PlayStation 4, PC, Xbox One, PlayStation 5, Xbox Series X, Nintendo Switch",2021-03-26,88,8.9,51,2830,Electronic Arts,Linear Action Adventure,T,https://www.metacritic.com/game/it-takes-two/
Ratchet & Clank: Rift Apart,"PlayStation 5, PC",2021-06-11,88,8.5,136,3935,"PlayStation Studios, Sony Interactive Entertainment",3D Platformer,E10+,https://www.metacritic.com/game/ratchet-and-clank-rift-apart/
Deathloop,"PC, PlayStation 5, Xbox Series X",2021-09-14,88,6.8,116,2019,Bethesda Softworks,FPS,M,https://www.metacritic.com/game/deathloop/
Metroid Dread,Nintendo Switch,2021-10-08,88,8.8,133,3369,Nintendo,Metroidvania,T,https://www.metacritic.com/game/metroid-dread/
